Album,Year,Label,Track Name,Edition,Genre
Graffiti,2009,"CBE, Jive",Wait ft. Trey Songz & The Game,Original,Hip-Hop Soul / Urban R&B
Graffiti,2009,"CBE, Jive",Lucky Me,Original,Pop-R&B Ballad
Graffiti,2009,"CBE, Jive",Fallin Down,Original,Goth-Rock / Synth-Pop
Graffiti,2009,"CBE, Jive",I'll Go,Original,Acoustic Pop-R&B Ballad
Graffiti,2009,"CBE, Jive",Girlfriend ft. Lupe Fiasco,International Deluxe,Synth-Pop / Pop-Rap
Graffiti,2009,"CBE, Jive",Chase Our Love,International Deluxe,Electro-Pop / Dance-Pop
Graffiti,2009,"CBE, Jive",Gotta Be Ur Man,International Deluxe,Contemporary R&B
Graffiti,2009,"CBE, Jive",For Ur Love,International Deluxe,Pop-R&B / Synth-Pop
Graffiti,2009,"CBE, Jive",I Love U,International Deluxe,Contemporary R&B / Urban Pop
Graffiti,2009,"CBE, Jive",Brown Skin Girl ft. Sean Paul,International Deluxe,Reggae-Fusion / Dancehall R&B
Graffiti,2009,"CBE, Jive",I Need This,International Deluxe,Pop-R&B Ballad
Graffiti,2009,"CBE, Jive",Graffiti,International Deluxe,Alternative R&B / Synth-Rock Ballad
F.A.M.E.,2011,"CBE, Jive",Deuces ft. Tyga & Kevin McCall,Original,Alternative R&B / Slow Jam
F.A.M.E.,2011,"CBE, Jive",Up to You,Original,Contemporary R&B / Acoustic Pop-R&B
F.A.M.E.,2011,"CBE, Jive",No BS ft. Kevin McCall,Original,Traditional Contemporary R&B / Slow Jam
F.A.M.E.,2011,"CBE, Jive",Look at Me Now ft. Lil Wayne & Busta Rhymes,Original,Dirty South Hip-Hop / Snap Rap
F.A.M.E.,2011,"CBE, Jive",She Ain't You,Original,Contemporary R&B / Pop-Soul
F.A.M.E.,2011,"CBE, Jive",Say It with Me,Original,Uptempo R&B / Electro-Pop
F.A.M.E.,2011,"CBE, Jive",Yeah 3x,Original,Dance-Pop / Europop / Synth-Pop
F.A.M.E.,2011,"CBE, Jive",Next to You ft. Justin Bieber,Original,Pop-R&B / Teen Pop Ballad
F.A.M.E.,2011,"CBE, Jive",All Back,Original,Soft Rock / Piano Pop Ballad
F.A.M.E.,2011,"CBE, Jive",Wet the Bed ft. Ludacris,Original,PBR&B / Slow Jam
F.A.M.E.,2011,"CBE, Jive",Oh My Love,Original,Synth-Pop / Eurodance
F.A.M.E.,2011,"CBE, Jive",Should've Kissed You,Original,Pop-R&B Ballad
F.A.M.E.,2011,"CBE, Jive",Beautiful People ft. Benny Benassi,Original,Electro-House / Eurodance
F.A.M.E.,2011,"CBE, Jive",Bomb ft. Wiz Khalifa,Deluxe,West Coast Hip-Hop / Pop-Rap
F.A.M.E.,2011,"CBE, Jive",Love the Girls ft. Game,Deluxe,Electro-Hop / Dance-Pop
F.A.M.E.,2011,"CBE, Jive","Paper, Scissors, Rock ft. Timbaland & Big Sean",Deluxe,Experimental Hip-Hop Soul
F.A.M.E.,2011,"CBE, Jive",Beg for It,Deluxe,Contemporary R&B / Urban Pop
F.A.M.E.,2011,"CBE, Jive",Champion ft. Chipmunk,International Deluxe,Uptempo Hip-Hop Soul / UK Rap Fusion
Fortune,2012,"CBE, RCA",Turn Up the Music,Original,Dance-Pop / Electro-House / Eurodance
Fortune,2012,"CBE, RCA",Bassline,Original,Dubstep-Pop / Electro-Hop
Fortune,2012,"CBE, RCA",Till I Die ft. Big Sean & Wiz Khalifa,Original,Dirty South Hip-Hop / Trap-Pop
Fortune,2012,"CBE, RCA",Mirage ft. Nas,Original, Hip-Hop Soul
Fortune,2012,"CBE, RCA",Don't Judge Me,Original,Alternative R&B / Pop Ballad
Fortune,2012,"CBE, RCA",2012,Original,Contemporary R&B / Slow Jam
Fortune,2012,"CBE, RCA",Biggest Fan,Original,Alternative R&B / Electro-R&B
Fortune,2012,"CBE, RCA",Sweet Love,Original,PBR&B / Slow Jam
Fortune,2012,"CBE, RCA",Strip ft. Kevin McCall,Original,Contemporary R&B / Hip-Hop Pop
Fortune,2012,"CBE, RCA",Stuck on Stupid,Original,Acoustic Pop-R&B Ballad
Fortune,2012,"CBE, RCA",4 Years Old,Original,Pop-R&B Ballad
Fortune,2012,"CBE, RCA",Party Hard / Cadillac (Interlude) ft. Sevyn,Original,PBR&B / Alternative R&B
Fortune,2012,"CBE, RCA",Don't Wake Me Up,Original,Progressive House / Eurodance
Fortune,2012,"CBE, RCA",Trumpet Lights ft. Sabrina Antionette,Original,Electro-House / Synth-Pop
Fortune,2012,"CBE, RCA",Tell Somebody,Deluxe,Contemporary R&B
Fortune,2012,"CBE, RCA",Free Run,Deluxe,Pop-R&B Ballad
Fortune,2012,"CBE, RCA",Remember My Name ft. Sevyn,Deluxe,Electro-Hop / Dance-Pop
Fortune,2012,"CBE, RCA",Wait For You,Deluxe,Pop-R&B Ballad
Fortune,2012,"CBE, RCA",Touch Me ft. Sevyn,Deluxe,Contemporary R&B / Urban Pop
X,2014,"CBE, RCA",X,Original,Alternative R&B / Dubstep-Pop / EDM
X,2014,"CBE, RCA",Add Me In,Original,90s New Jack Swing / Dance-Pop
X,2014,"CBE, RCA",Loyal ft. Lil Wayne & Tyga,Original,West Coast Hip-Hop / Pop-Rap
X,2014,"CBE, RCA",New Flame ft. Usher & Rick Ross,Original,Contemporary R&B / Mid-Tempo Pop
X,2014,"CBE, RCA",Songs On 12 Play ft. Trey Songz,Original,Contemporary R&B / Slow Jam
X,2014,"CBE, RCA",101 (Interlude),Original,Alternative R&B / PBR&B
X,2014,"CBE, RCA",Drown In It ft. R. Kelly,Original,Contemporary R&B / Slow Jam
X,2014,"CBE, RCA",Came To Do ft. Akon,Original,Hip-Hop Pop / Club R&B
X,2014,"CBE, RCA",Stereotype,Original,Electro-Pop / Synth-Pop
X,2014,"CBE, RCA",Time For Love,Original,Eurodance / Progressive House
X,2014,"CBE, RCA",Lady In A Glass Dress (Interlude),Original,Acoustic R&B / Contemporary Soul
X,2014,"CBE, RCA",Autumn Leaves ft. Kendrick Lamar,Original,PBR&B / Dark Ambient R&B
X,2014,"CBE, RCA",Do Better ft. Brandy,Original,Alternative R&B / Neo-Soul
X,2014,"CBE, RCA",See You Around,Original,Pop-Rock / Folk-Pop Ballad
X,2014,"CBE, RCA",Don't Be Gone Too Long,Original, Disco-House / Synth-Pop
X,2014,"CBE, RCA",Body Shots,Original,Trap-Pop / Urban Dance
X,2014,"CBE, RCA",Drunk Texting ft. Jhené Aiko,Original,Alternative R&B / Atmospheric Pop
X,2014,"CBE, RCA",Lost In Ya Love,Deluxe,Contemporary R&B / Smooth Pop
X,2014,"CBE, RCA",Love More ft. Nicki Minaj,Deluxe,Electro-Hop / Trap-Pop
X,2014,"CBE, RCA",Don't Think They Know ft. Aaliyah,Deluxe,90s Hip-Hop Soul / Contemporary R&B
X,2014,"CBE, RCA",Fine China,Deluxe,Disco-Funk / Dance-Pop / R&B-Soul
X,2014,"CBE, RCA",No Lights,Expanded,Alternative R&B / Dark Slow Jam
Royalty,2015,"CBE, RCA",Back to Sleep,Original,90s R&B Revival / Contemporary Soul
Royalty,2015,"CBE, RCA",Fine By Me,Original,Synth-Pop / Euro-Disco / Electro-Funk
Royalty,2015,"CBE, RCA",Wrist ft. Solo Lucci,Original,Trap-Pop / Hip-Hop R&B
Royalty,2015,"CBE, RCA",Make Love,Original,Traditional Contemporary R&B / Slow Jam
Royalty,2015,"CBE, RCA",Liquor,Original,PBR&B / Psych-R&B / Dark Pop
Royalty,2015,"CBE, RCA",Zero,Original,Nu-Disco / Funk-Pop / Dance-Pop
Royalty,2015,"CBE, RCA",Anyway ft. Tayla Parx,Original,Electro-Pop / Progressive House / Future Bass
Royalty,2015,"CBE, RCA",Picture Me Rollin',Original,West Coast G-Funk / Hip-Hop Soul
Royalty,2015,"CBE, RCA",Who's Gonna (NOBODY),Original,90s R&B / Slow Jam
Royalty,2015,"CBE, RCA",Discover,Original,Alternative R&B / Atmospheric Pop
Royalty,2015,"CBE, RCA",Little Bit,Original,Contemporary R&B
Royalty,2015,"CBE, RCA",Proof,Original,Alternative R&B / PBR&B
Royalty,2015,"CBE, RCA",No Filter,Original,Pop-Rap / Up-Tempo R&B
Royalty,2015,"CBE, RCA",Little More (Royalty),Original,Acoustic Pop-R&B Ballad
Royalty,2015,"CBE, RCA",Day One,Deluxe,Hip-Hop Soul / Contemporary R&B
Royalty,2015,"CBE, RCA",Blow It In The Wind,Deluxe,Pop-R&B / Summer Bounce
Royalty,2015,"CBE, RCA",KAE,Deluxe,Alternative R&B / Dark Slow Jam
Royalty,2015,"CBE, RCA",U Did It ft. Future,Deluxe,Trap-Pop / Alternative R&B
Royalty,2015,"CBE, RCA",The 80's,Japanese Bonus,Synth-Wave / Retro-Pop
Royalty,2015,"CBE, RCA",Blue Jeans,Japanese Bonus,Contemporary R&B / Urban Pop
Heartbreak on a Full Moon,2017,"CBE, RCA",Lost & Found,Original,Alternative R&B / Acoustic Pop
Heartbreak on a Full Moon,2017,"CBE, RCA",Privacy,Original,Trap-Pop / Contemporary R&B
Heartbreak on a Full Moon,2017,"CBE, RCA",Juicy Booty,Original,Hip-Hop Soul / Contemporary R&B
Heartbreak on a Full Moon,2017,"CBE, RCA",Questions,Original,Dancehall-Pop / Eurodisco
Heartbreak on a Full Moon,2017,"CBE, RCA",Heartbreak on a Full Moon,Original,PBR&B / Dark Ambient
Heartbreak on a Full Moon,2017,"CBE, RCA",Roses,Original,Alternative R&B
Heartbreak on a Full Moon,2017,"CBE, RCA",Confidence,Original,Afrobeats / Tropical Pop
Heartbreak on a Full Moon,2017,"CBE, RCA",Rock Your Body,Original,Eurodance / Dance-Pop
Heartbreak on a Full Moon,2017,"CBE, RCA",Tempo,Original,Synth-Pop / Dance-Pop
Heartbreak on a Full Moon,2017,"CBE, RCA",Handle It,Original, Alternative R&B / Trap-Soul
Heartbreak on a Full Moon,2017,"CBE, RCA",Sip,Original,Alternative R&B / Dancehall Fusion
Heartbreak on a Full Moon,2017,"CBE, RCA",Everybody Knows,Original, Alternative R&B / Trap-Soul
Heartbreak on a Full Moon,2017,"CBE, RCA",To My Bed,Original,Contemporary R&B / Mid-Tempo Pop
Heartbreak on a Full Moon,2017,"CBE, RCA",Hope You Do,Original,Contemporary R&B / Mid-Tempo Pop
Heartbreak on a Full Moon,2017,"CBE, RCA",This Ain't,Original,Contemporary R&B / Mid-Tempo Pop
Heartbreak on a Full Moon,2017,"CBE, RCA",Pull Up,Original,Contemporary R&B / Mid-Tempo Pop
Heartbreak on a Full Moon,2017,"CBE, RCA",Party,Original,Hip-Hop Pop / Club R&B
Heartbreak on a Full Moon,2017,"CBE, RCA",Sensei,Original,Trap-Pop
Heartbreak on a Full Moon,2017,"CBE, RCA",Summer Breeze,Original,Dancehall-Pop / Tropical Pop
Heartbreak on a Full Moon,2017,"CBE, RCA",No Exit,Original,Contemporary R&B / Mid-Tempo Pop
Heartbreak on a Full Moon,2017,"CBE, RCA",Pills & Automobiles,Original,Trap-Pop / Club Rap
Heartbreak on a Full Moon,2017,"CBE, RCA",Hurt the Same,Original,Contemporary R&B / Mid-Tempo Pop
Heartbreak on a Full Moon,2017,"CBE, RCA",I Love Her,Original,Dancehall-Pop / Tropical Pop
Heartbreak on a Full Moon,2017,"CBE, RCA",You Like,Original, Alternative R&B / Trap-Soul
Heartbreak on a Full Moon,2017,"CBE, RCA",Nowhere,Original,PBR&B / Dark Pop
Heartbreak on a Full Moon,2017,"CBE, RCA",Other Niggas,Original, Alternative R&B / Trap-Soul
Heartbreak on a Full Moon,2017,"CBE, RCA",Tough Love,Original, Alternative R&B / Trap-Soul
Heartbreak on a Full Moon,2017,"CBE, RCA",Paradise,Original,Afrobeats / Tropical Pop
Heartbreak on a Full Moon,2017,"CBE, RCA",Covered In You,Original,Alternative R&B / Neo-Soul
Heartbreak on a Full Moon,2017,"CBE, RCA",Even,Original,Dancehall-Pop / Tropical Pop
Heartbreak on a Full Moon,2017,"CBE, RCA",High End,Original,Trap / Dirty South Hip-Hop
Heartbreak on a Full Moon,2017,"CBE, RCA",On Me,Original,Trap-Soul / Hip-Hop
Heartbreak on a Full Moon,2017,"CBE, RCA",Tell Me What to Do,Original,Contemporary R&B / Pop-Soul
Heartbreak on a Full Moon,2017,"CBE, RCA",Frustrated,Original, Alternative R&B / Trap-Soul
Heartbreak on a Full Moon,2017,"CBE, RCA",Enemy,Original,Alternative R&B / Trap-Soul
Heartbreak on a Full Moon,2017,"CBE, RCA",If You're Down,Original,Tropical Pop / Contemporary R&B
Heartbreak on a Full Moon,2017,"CBE, RCA",Bite My Tongue,Original,Alternative R&B / Trap-Soul
Heartbreak on a Full Moon,2017,"CBE, RCA",Run Away,Original,Alternative R&B / Trap-Soul
Heartbreak on a Full Moon,2017,"CBE, RCA",This Way,Original,Alternative R&B / Trap-Soul
Heartbreak on a Full Moon,2017,"CBE, RCA",Yellow Tape,Original,Alternative R&B / Trap-Soul
Heartbreak on a Full Moon,2017,"CBE, RCA",Reddi Wip,Original,Tropical R&B / Pop-Soul
Heartbreak on a Full Moon,2017,"CBE, RCA",Hangover,Original, Alternative R&B / Trap-Soul
Heartbreak on a Full Moon,2017,"CBE, RCA",Emotions,Original, Alternative R&B / Trap-Soul
Heartbreak on a Full Moon,2017,"CBE, RCA",Only 4 Me,Original,West Coast Hip-Hop / Ratchet R&B
Heartbreak on a Full Moon,2017,"CBE, RCA",Grass Ain't Greener,Original,Pop-R&B / Synth-Pop
Heartbreak on a Full Moon,2017,"CBE, RCA",Don't Slow Me Down,Cuffing Season Deluxe,Contemporary R&B / Trap-Soul
Heartbreak on a Full Moon,2017,"CBE, RCA",On Purpose,Cuffing Season Deluxe,Contemporary R&B / Trap-Soul
Heartbreak on a Full Moon,2017,"CBE, RCA",Hands Up,Cuffing Season Deluxe,Contemporary R&B / Trap-Soul
Heartbreak on a Full Moon,2017,"CBE, RCA",Same Sht,Cuffing Season Deluxe,Contemporary R&B / Trap-Soul
Heartbreak on a Full Moon,2017,"CBE, RCA",Trust Me,Cuffing Season Deluxe,Contemporary R&B / Trap-Soul
Heartbreak on a Full Moon,2017,"CBE, RCA",Let St Go,Cuffing Season Deluxe,Contemporary R&B / Trap-Soul
Heartbreak on a Full Moon,2017,"CBE, RCA",I Wanna,Cuffing Season Deluxe,Contemporary R&B / Trap-Soul
Heartbreak on a Full Moon,2017,"CBE, RCA",Water,Cuffing Season Deluxe,Contemporary R&B / Trap-Soul
Heartbreak on a Full Moon,2017,"CBE, RCA",Yoppa,Cuffing Season Deluxe,Contemporary R&B / Trap-Soul
Heartbreak on a Full Moon,2017,"CBE, RCA",Get Off,Cuffing Season Deluxe,Contemporary R&B / Trap-Soul
Heartbreak on a Full Moon,2017,"CBE, RCA",This X-Mas,Cuffing Season Deluxe,Contemporary R&B / Holiday Pop
Heartbreak on a Full Moon,2017,"CBE, RCA",Secret,Cuffing Season Deluxe,Contemporary R&B / Trap-Soul
Indigo ,2019,"CBE, RCA",Lower Body ft. Davido,Extended,Afrobeats / Afropop
Indigo ,2019,"CBE, RCA",Overtime,Extended,Contemporary R&B / Mid-Tempo Pop
Indigo ,2019,"CBE, RCA",Under The Influence,Extended,Alternative R&B / Slow Jam
Indigo ,2019,"CBE, RCA","Outy When I Drive/Blamed ft. Rich The Kid, Yella Beezy, Sage The Gemini",Extended,Hip-Hop / Two-Part West Coast Rap
Indigo ,2019,"CBE, RCA",Nose Dive ft. DaniLeigh,Extended,Contemporary R&B / Pop-R&B Crossover
Indigo ,2019,"CBE, RCA",Flashbacks,Extended,Alternative R&B / Moody Pop
Indigo ,2019,"CBE, RCA",Problem With You,Extended,Trap-Soul / Urban Pop
Indigo ,2019,"CBE, RCA",Going At It,Extended,Trap-Soul / Urban Pop
Indigo ,2019,"CBE, RCA",Technology,Extended,Trap-Soul / Urban Pop
Indigo ,2019,"CBE, RCA",Tell Me How You Feel ft. Tory Lanez,Extended,Trap-Soul / Urban Pop
Indigo ,2019,"CBE, RCA",Indigo,Original,Electro-R&B / Synth-Pop
Indigo ,2019,"CBE, RCA",Back To Love,Original,Nu-Disco / Dance-Pop / Funk-R&B
Indigo ,2019,"CBE, RCA",Come Together ft. H.E.R.,Original,90s R&B Revival / Contemporary Soul Duet
Indigo ,2019,"CBE, RCA",Temporary Lover ft. Lil Jon,Original,Crunk&B Revival / Up-Tempo R&B
Indigo ,2019,"CBE, RCA",Emerald / Burgundy ft. Juvenile & Juicy J,Original,PBR&B / Dark Hip-Hop Soul
Indigo ,2019,"CBE, RCA",Red,Original,Alternative R&B / PBR&B
Indigo ,2019,"CBE, RCA",All I Want ft. Tyga,Original,West Coast Hip-Hop / Pop-Rap
Indigo ,2019,"CBE, RCA",Wobble Up ft. Nicki Minaj & G-Eazy,Original,Bounce / Club Hip-Hop
Indigo ,2019,"CBE, RCA",Need A Stack ft. Lil Wayne & Joyner Lucas,Original,Trap / Hip-Hop
Indigo ,2019,"CBE, RCA",Heat ft. Gunna,Original,Contemporary R&B / Trap-Pop
Indigo ,2019,"CBE, RCA",No Guidance ft. Drake,Original,Contemporary R&B / Pop-Rap
Indigo ,2019,"CBE, RCA",Girl Of My Dreams,Original,Pop-R&B / Acoustic Pop Ballad
Indigo ,2019,"CBE, RCA",Natural Disaster / Aura,Original,Alternative R&B / Electronic Pop
Indigo ,2019,"CBE, RCA",Don't Check On Me ft. Justin Bieber & Ink,Original,Acoustic Pop / Folk-Pop Ballad
Indigo ,2019,"CBE, RCA",Sorry Enough,Original,Pop-R&B / Mid-Tempo Pop
Indigo ,2019,"CBE, RCA",Juice,Original,Contemporary R&B / Urban Pop / Slow Jams
Indigo ,2019,"CBE, RCA",You Like That,Original,Contemporary R&B / Urban Pop / Slow Jams
Indigo ,2019,"CBE, RCA",Troubled Waters,Original,Contemporary R&B / Urban Pop / Slow Jams
Indigo ,2019,"CBE, RCA",Take A Risk,Original,Contemporary R&B / Urban Pop / Slow Jams
Indigo ,2019,"CBE, RCA",Lurkin' ft. Tory Lanez,Original,Contemporary R&B / Urban Pop / Slow Jams
Indigo ,2019,"CBE, RCA",Trust Issues / Act In,Original,Alternative R&B / Slow Jam
Indigo ,2019,"CBE, RCA",Cheetah,Original,Contemporary R&B / Urban Pop / Slow Jams
Indigo ,2019,"CBE, RCA",Undecided,Original,Dance-Pop / 90s R&B Interpolation
Indigo ,2019,"CBE, RCA",BP / No Judgement,Original,Contemporary Soul / Pop-R&B
Indigo ,2019,"CBE, RCA",Side Nigga,Original,Alternative R&B / Trap-Soul / Melodic Rap
Indigo ,2019,"CBE, RCA",Throw It Back,Original,Contemporary R&B / Urban Pop / Slow Jams
Indigo ,2019,"CBE, RCA",All On Me,Original,Contemporary R&B / Urban Pop / Slow Jams
Indigo ,2019,"CBE, RCA",Sexy ft. Trey Songz,Original,Contemporary R&B / Urban Pop / Slow Jams
Indigo ,2019,"CBE, RCA",Early 2K ft. Tank,Original,Contemporary R&B / Urban Pop / Slow Jams
Indigo ,2019,"CBE, RCA",Dear God,Original,Contemporary R&B / Urban Pop / Slow Jams
Indigo ,2019,"CBE, RCA",Part Of The Plan,Original,Contemporary R&B / Urban Pop / Slow Jams
Indigo ,2019,"CBE, RCA",Play Catch Up,Original,Contemporary R&B / Urban Pop / Slow Jams
Slime & B,2020,"CBE, RCA","Go Crazy (Remix) ft. Young Thug, Future, Lil Durk, Latto",Original,Pop-Rap / Club Trap
Slime & B,2020,"CBE, RCA",City Girls ft. Young Thug,Original,Trap-Pop / Hip-Hop Pop
Slime & B,2020,"CBE, RCA",Say You Love Me ft. Young Thug,Original,Contemporary R&B / Slow Jam
Slime & B,2020,"CBE, RCA",Go Crazy ft. Young Thug,Original,Pop-Rap / Snap-Trap
Slime & B,2020,"CBE, RCA","Trap Back ft. Young Thug, Major Nine",Original,Trap / Dirty South Hip-Hop
Slime & B,2020,"CBE, RCA","I Got Time ft. Young Thug, Shad Da God",Original,Trap-Soul / Melodic Rap
Slime & B,2020,"CBE, RCA","She Bumped Her Head ft. Young Thug, Gunna",Original,Trap / Hardcore Hip-Hop
Slime & B,2020,"CBE, RCA","Big Slimes ft. Young Thug, Gunna, Lil Duke",Original,Trap / Club Rap
Slime & B,2020,"CBE, RCA",I Ain't Tryin' ft. Young Thug,Original,Contemporary R&B / Trap-Soul
Slime & B,2020,"CBE, RCA",Animal ft. Young Thug,Original,Pop-Rap / Melodic Trap
Slime & B,2020,"CBE, RCA","Undrunk ft. Too $hort, E-40",Original,West Coast Hip-Hop / Ratchet R&B
Slime & B,2020,"CBE, RCA",No Such Thing ft. Hoodybaby,Original,Alternative R&B / PBR&B
Breezy,2022,"CBE, RCA",C.A.B. (Catch A Body) ft. Fivio Foreign,Original,Hip-Hop / Drill-Pop
Breezy,2022,"CBE, RCA",Till The Wheels Fall Off ft. Lil Durk & Capella Grey,Original,Alternative R&B & Trap-Soul 
Breezy,2022,"CBE, RCA",Pitch Black,Original,Contemporary R&B / Mid-Tempo Pop
Breezy,2022,"CBE, RCA",Possessive ft. Lil Wayne & BLEU,Original, Alternative R&B & Trap-Soul 
Breezy,2022,"CBE, RCA",Addicted ft. Lil Baby,Original, Alternative R&B & Trap-Soul 
Breezy,2022,"CBE, RCA",Call Me Every Day ft. Wizkid,Original,Afrobeats / Afropop
Breezy,2022,"CBE, RCA",Closure ft. H.E.R.,Original, Alternative R&B & Trap-Soul 
Breezy,2022,"CBE, RCA",Need You Right Here ft. Bryson Tiller,Original, Contemporary R&B / Slow Jam
Breezy,2022,"CBE, RCA",Sex Memories ft. Ella Mai,Original, Alternative R&B & Trap-Soul 
Breezy,2022,"CBE, RCA",Hmhmm,Original,Trap / Hardcore Hip-Hop
Breezy,2022,"CBE, RCA",Psychic ft. Jack Harlow,Original,Contemporary R&B / Pop-Rap
Breezy,2022,"CBE, RCA",Show It ft. Blxst,Original,West Coast Hip-Hop / Smooth R&B
Breezy,2022,"CBE, RCA",Sleep At Night,Original,Uptempo R&B / Pop-Soul
Breezy,2022,"CBE, RCA",Passing Time,Original,Traditional R&B Ballad
Breezy,2022,"CBE, RCA",WE (Warm Embrace),Original,90s R&B Revival / Contemporary Soul
Breezy,2022,"CBE, RCA",Forbidden,Original, Alternative R&B & Trap-Soul 
Breezy,2022,"CBE, RCA",Bad Then A Beach ft. Tory Lanez,Original,Contemporary R&B / Melodic Rap
Breezy,2022,"CBE, RCA",Survive The Night,Original, Alternative R&B & Trap-Soul 
Breezy,2022,"CBE, RCA",Dream,Original, Alternative R&B & Trap-Soul 
Breezy,2022,"CBE, RCA",Slide,Original, Alternative R&B & Trap-Soul 
Breezy,2022,"CBE, RCA",Harder,Original,Contemporary R&B / Slow Jam
Breezy,2022,"CBE, RCA",On Some New Shit,Original,Contemporary R&B / Slow Jam
Breezy,2022,"CBE, RCA",Luckiest Man,Original,Pop-R&B Ballad / Outro
Breezy,2022,"CBE, RCA",Iffy,Original, Dance-Pop / Electro-R&B
Breezy,2022,"CBE, RCA",Hit My Line,Deluxe,Contemporary R&B / Mid-Tempo Pop
Breezy,2022,"CBE, RCA",Inner Peace ft. Anderson .Paak,Deluxe, Alternative R&B & Trap-Soul 
Breezy,2022,"CBE, RCA",Talm' Bout,Deluxe, Alternative R&B & Trap-Soul 
Breezy,2022,"CBE, RCA",Hate Me Tomorrow,Deluxe, Alternative R&B & Trap-Soul 
